show processes cpu
Sat Dec 26 10:26:08.598 UTC

CPU utilization for one minute: 1%; five minutes: 1%; fifteen minutes: 1%
 
PID    1Min    5Min    15Min Process
1        0%      0%       0% kernel
8195     0%      0%       0% dllmgr
12290    0%      0%       0% wd-critical-mon
12295    0%      0%       0% pkgfs
12296    0%      0%       0% devc-pty
12297    0%      0%       0% devc-conaux
12298    0%      0%       0% pkgfs
12299    0%      0%       0% ksh
16396    0%      0%       0% random
16397    0%      0%       0% pipe
16399    0%      0%       0% mqueue
16400    0%      0%       0% mq
16403    0%      0%       0% shmwin_svr
20498    0%      0%       0% inflator
20500    0%      0%       0% i2c_server
24590    0%      0%       0% pldmgr
28689    0%      0%       0% pciesvr
32789    0%      0%       0% umass-enum
32790    0%      0%       0% io-usb
32791    0%      0%       0% devb-umass
32792    0%      0%       0% nvram
32793    0%      0%       0% mediasvr
32794    0%      0%       0% dumper
32796    0%      0%       0% redfs_svr
36891    0%      0%       0% obflmgr
36893    0%      0%       0% devb-ahci
135198   0%      0%       0% syslogd_helper
135199   0%      0%       0% syslog_dev
135201   0%      0%       0% dmac_svr
139296   0%      0%       0% bfm_server
139298   0%      0%       0% spp
139299   1%      1%       1% ce_switch
139300   0%      0%       0% eth_server
139301   0%      0%       0% attachd
139302   0%      0%       0% read_eeprom_protocol
139303   0%      0%       0% qnet
139308   0%      0%       0% insthelper
139309   0%      0%       0% bcm_logger
139310   0%      0%       0% attach_server
139312   0%      0%       0% procmgr
294952   0%      0%       0% sysmgr
311300   0%      0%       0% qsm
311302   0%      0%       0% correlatord
311338   0%      0%       0% syslogd
311346   0%      0%       0% qad_server
311348   0%      0%       0% dsc
315443   0%      0%       0% cctl_primary_server
315447   0%      0%       0% hbagent
315450   0%      0%       0% packet
331830   0%      0%       0% chkpt_proxy
331832   0%      0%       0% aipc_proxy
335929   0%      0%       0% ltrace_server
340027   0%      0%       0% ltrace_sync
340028   0%      0%       0% obfl_pd_driver
348213   0%      0%       0% sds
356357   0%      0%       0% sld
356401   0%      0%       0% sysmgr
356413   0%      0%       0% top_procs
356414   0%      0%       0% wdsysmon
356415   0%      0%       0% sc_reddrv
356416   0%      0%       0% rmf_svr
421935   0%      0%       0% rdm_cfg_intf_scale
421953   0%      0%       0% shelfmgrv2
421954   0%      0%       0% bag_schema_svr
421955   0%      0%       0% drp_pairing
421958   0%      0%       0% oir_daemon
430148   0%      0%       0% sysdb_svr_admin
