show processes memory location all
Sat Dec 26 10:28:11.734 UTC

node:      node0_0_CPU0
------------------------------------------------------------------
JID          Text       Data      Stack    Dynamic Process
------ ---------- ---------- ---------- ---------- -------
311        442368     241664      98304   13062144 qos_ea
391          4096       8192      32768   10055680 statsd_manager_l
269        208896     135168     131072    8785920 netio
129       1089536     512000     172032    6492160 bfd_agent
289        311296     151552      98304    5062656 pla_server
56         245760      81920      57344    4567040 dllmgr
190        880640     724992     225280    4329472 gsp
396          4096       8192      61440    4132864 sysdb_svr_local
247       1142784     614400     192512    3952640 l2fib_mgr
231        675840     212992      94208    3698688 ipv4_mfwd_partner
171       4542464     811008     561152    3645440 fib_mgr
235        643072     208896      73728    3502080 ipv6_mfwd_partner
425        131072     921600     167936    3244032 wdsysmon
310        151552      98304      73728    3227648 fia_driver
291        282624      86016     139264    3014656 platform_mgr
399        315392     299008      24576    2789376 tcam_mgr
161        159744      61440     167936    2535424 egressq
113        192512     135168      36864    2478080 aib
286         77824      49152      36864    2379776 pfilter_ea
182        724992       4096     192512    2293760 fabricq_mgr
394        249856      69632      86016    2105344 sysdb_mc
319        430080      94208      32768    1925120 rsi_agent
165        118784      36864      36864    1896448 ether_caps_partner
288        135168      61440      36864    1802240 pifibm_server_lc
314        114688      32768      98304    1757184 qsm
198          4096       8192      40960    1757184 ifmgr
238        679936       4096     200704    1654784 ingressq
118        405504     561152      65536    1638400 arp
407          4096       8192      20480    1634304 uidb_svr
60         163840      65536     114688    1576960 insthelper
111         94208      45056      94208    1499136 afmon_ea
229        176128      77824      86016    1413120 ipv4_io
233        102400      57344      61440    1404928 ipv6_io
67          40960      20480      57344    1376256 nvram
236        602112     282624      65536    1359872 ipv6_nd
265         86016      32768      32768    1359872 mpls_io
293        167936    1646592     163840    1314816 plim_10ge
160         36864     385024      57344    1282048 eem_ed_sysmgr
71          24576      12288      73728    1265664 pkgfs
65553       24576      12288      36864    1253376 pkgfs
234        368640     110592      77824    1183744 ipv6_ma
262        524288     262144     200704    1130496 pse_driver
257        266240     159744      86016    1036288 lrd
74         196608     118784     131072    1032192 qnet
287        163840      49152      28672    1024000 pfilter_ma
316        147456      32768     118784    1024000 rdsfs_svr
380         77824      28672      20480    1015808 span_ea
133        344064     274432      53248    1003520 bundlemgr_local
253         24576      16384      32768     999424 li_ea
230        372736     102400      77824     909312 ipv4_ma
57         212992    1191936     102400     909312 dumper
256        270336      81920      57344     897024 lldp_agent
312        593920     188416      36864     872448 qos_ma
301        356352     176128      20480     831488 pm_ma
192         73728      40960      73728     819200 fab_svr
117        135168     155648      69632     794624 aipc_proxy
384        118784     172032      98304     782336 cpuctrl
204         28672      20480      49152     778240 inbarhb
409        188416      36864      16384     774144 vlan_ea
137        114688      53248      16384     729088 cdp
300         36864      16384      20480     704512 plumm
58          94208      57344     106496     663552 eth_server
401         36864      16384      20480     638976 tlumm
81         880640     167936     172032     634880 sysmgr
140        184320      45056     106496     634880 cfgmgr-lc
404         12288      12288      16384     577536 tunnel_ea
382          4096       8192      32768     577536 spio_ea
292         28672      20480      32768     573440 platform_mgr_common
268         28672      16384      16384     561152 nd_partner
390         28672      16384      28672     561152 statsd_server
228         86016      32768      36864     552960 iphc_ma
170         98304      36864      28672     540672 fhrp_output
272         49152      24576      32768     540672 nfma
201         28672      24576      20480     516096 imaedm_server
279        110592      69632      61440     507904 online_diag_lc
159         86016     102400      53248     487424 dumper_config
383          4096       8192      20480     487424 spio_ma
151         36864      20480      81920     479232 ctrlio
266         90112      36864      16384     442368 mpls_io_ea
392         40960     159744      16384     434176 svi_adj_mgr
202        106496      40960      65536     430080 imdr
232         53248      28672      32768     421888 ipv6_ea
132        155648      36864      20480     417792 bundlemgr_ea
206        126976      49152      24576     401408 ntpdc
189         65536      28672      24576     401408 fwd_driver_partner
389        102400      32768      57344     389120 stats_svr
169         24576      45056      73728     385024 fabio_svr
155         12288      16384      69632     380928 discovery
68         135168      45056      73728     376832 obflmgr
408         49152      24576      81920     372736 upgrade_daemon
166         24576      12288      20480     372736 ether_sock
149        106496      61440      53248     368640 clns
283        212992      53248      20480     360448 pbr_ea
139         32768      20480      16384     360448 cerrno_server
282         12288      12288      16384     360448 pak_capture_partner
163         32768      16384      53248     348160 enf_broker
75         208896      28672      20480     311296 random
281         98304      40960      61440     311296 packet
130         77824      73728      32768     307200 bundlemgr_adj
264         53248     311296      16384     307200 mpls_fwd_show_proxy
73          53248      12288      12288     307200 devc-pty
317         16384      20480      40960     303104 reddrv_listener
284        122880      28672      20480     299008 pbr_ma
191         24576      16384      45056     299008 hbagent
196          8192       8192      28672     299008 icpe_sdep
248         65536      45056      24576     294912 l2snoop
276         28672      24576      69632     294912 obfl_config
259         24576      16384      16384     290816 ltrace_sync
79           8192      12288      16384     290816 syslog_dev
270         20480      12288      16384     286720 netio_debug_partner
154         16384      16384      45056     278528 diag_svr
54         106496      49152     151552     274432 bfm_server
307         16384      12288      32768     262144 pse_fam
65700        4096       8192      16384     253952 show_processes
119         45056      90112      32768     249856 asic_scan_server
237         20480      12288      16384     249856 ipv6nd_lite
138         98304      36864      24576     245760 cemgbl
326         45056      20480      16384     245760 showd_lc
252         28672      20480      61440     245760 lc_fpd_upgrade
329         20480      12288      16384     245760 slarp_lite
194         16384      12288      28672     245760 hm
53         163840      24576      28672     241664 devf-scrp
82          24576      12288      45056     241664 wd-critical-mon
250         24576      12288      16384     241664 lacp_lite
80          40960      20480     114688     237568 syslogd_helper
78          40960      20480      28672     237568 shmwin_svr
255         36864      16384      28672     237568 licagent
309         12288      12288      24576     237568 qad_server
388         40960      20480      45056     233472 ssm_process
131         28672      28672      16384     233472 bundlemgr_checker
386         20480      12288      20480     233472 srp_port_mode_cfg_verifier
303         16384       8192      16384     233472 ppp_lite
51          12288      12288      40960     233472 attachd
156         12288      12288      16384     233472 div2_dm
135         28672      24576      20480     229376 cctl_spa_server
277         12288       8192      32768     229376 obfl_pd_driver
398         20480      12288      16384     225280 sysmgr_show_proc_all_edm
134         20480      24576      20480     225280 cctl_server
275         16384      12288      16384     225280 nto_misc_shprocmem_edm
59         466944     118784      20480     221184 i2c_server
333         94208      32768      45056     221184 sld
239         45056      12288      20480     221184 ixdb_gc
424         24576      16384      16384     221184 wd-stat-publisher
306         12288      12288      16384     221184 procfind
274          8192      12288      16384     221184 timezone_notify
402         36864      16384      16384     217088 top_procs
152         20480      12288      16384     217088 debug_d
260          8192       8192      16384     217088 meminfo_svr
261          8192       8192      16384     217088 mempool_edm
258         24576      16384      40960     212992 ltrace_server
285         12288      16384      16384     212992 pcds_daemon
164          8192      20480      16384     212992 envmon_proxy
325          8192       8192      16384     212992 showd_server
114          8192       8192      16384     212992 aipc_cleaner
397        880640     167936      20480     204800 sysmgr
69          45056      16384      16384     192512 pci_bus_mgr
50          16384      12288      20480     192512 attach_server
55         204800      36864      12288     131072 ksh
52         204800      36864      12288     131072 ksh-aux
65          16384       8192      12288     118784 mqueue
70          16384       8192      49152     110592 pipe
64          12288       8192      12288     110592 mq
76         217088      24576       8192      98304 devc-ser8250
1          546304      50564          0          0 procnto-600-instr

node:      node0_1_CPU0
------------------------------------------------------------------
JID          Text       Data      Stack    Dynamic Process
------ ---------- ---------- ---------- ---------- -------
306        737280    4333568     286720   41955328 pse_pogo_driver
162        114688      65536     196608   24698880 egressq
379          4096       8192      32768    9981952 statsd_manager_l
315        356352     253952      90112    9719808 qos_ea
300         81920      77824     364544    9113600 plim_services_80ge
71         118784      69632      61440    8859648 pciesvr
271        163840     139264     139264    8740864 netio
293        196608      94208     114688    6090752 platform_mgr
65575      286720      53248     184320    5783552 devb-umass
184        622592     327680     417792    5111808 fabricq_mgr
240        561152     331776     286720    5111808 ingressq
192        700416     733184     212992    4231168 gsp
384          4096       8192      57344    4079616 sysdb_svr_local
249        978944     630784     188416    3862528 l2fib_mgr
172       3600384     884736     569344    3837952 fib_mgr
56         192512      77824      57344    3764224 dllmgr
69          28672      20480      36864    3440640 nvram
130        905216     536576     163840    3362816 bfd_agent
414         86016     925696     159744    3354624 wdsysmon
388        192512     102400     245760    2752512 tcp
113        126976     139264      36864    2543616 aib
288         57344      49152      36864    2326528 pfilter_ea
290        102400      65536      32768    2228224 pifibm_server_lc
304         24576      16384      24576    2158592 plumm
382        200704      77824      73728    2048000 sysdb_mc
395         86016      49152     270336    2015232 udp
323        307200      98304      32768    1912832 rsi_agent
285        147456      57344      45056    1896448 pbr_ea
396          4096       8192      20480    1675264 uidb_svr
200          4096       8192      40960    1630208 ifmgr
60         118784      65536     114688    1617920 insthelper
238        454656     241664      61440    1536000 ipv6_nd
119        278528     581632      45056    1511424 arp
318         81920      32768      90112    1458176 qsm
369         49152      28672      20480    1433600 span_ea
231        135168      81920      90112    1421312 ipv4_io
161         24576     389120      57344    1409024 eem_ed_sysmgr
235         73728      57344      61440    1380352 ipv6_io
267         65536      36864      32768    1351680 mpls_io
111         65536      45056     102400    1331200 afmon_ea
389         24576      16384      20480    1318912 tlumm
387        237568     303104      28672    1286144 tcam_mgr
73          16384      12288      57344    1261568 pkgfs
65545       16384      12288      36864    1200128 pkgfs
236        262144     114688      77824    1130496 ipv6_ma
145        147456      36864      53248    1081344 cgn_ea
70          90112      45056      77824    1069056 obflmgr
332         28672      16384      53248    1069056 si_ea
289        122880      49152      28672    1003520 pfilter_ma
320        122880      36864     114688     987136 rdsfs_svr
256         16384      16384      32768     983040 li_ea
232        274432     110592      77824     958464 ipv4_ma
78         167936     114688     110592     933888 qnet
58          81920      57344     102400     921600 eth_server
134        610304     282624      53248     917504 bundlemgr_local
165        368640     290816     106496     901120 envmon
305        233472     192512      20480     880640 pm_ma
259        172032      90112      57344     868352 lldp_agent
316        471040     196608      40960     864256 qos_ma
57         163840    1204224      98304     839680 dumper
260        229376     167936      90112     823296 lrd
117        118784     155648      69632     786432 aipc_proxy
194         49152      40960      90112     786432 fab_svr
328         53248     106496      45056     770048 sesvi_ea
