admin show platform
Sat Dec 26 05:17:02.513 UTC
Location  Card Type               HW State      SW State      Config State  
----------------------------------------------------------------------------
0/4       NC6-60X10GE-L-S         OPERATIONAL   OPERATIONAL   NSHUT         
0/RP0     NC6-RP                  OPERATIONAL   OPERATIONAL   NSHUT         
0/RP1     NC6-RP                  OPERATIONAL   OPERATIONAL   NSHUT         
0/FC0     NC6-FC-MC               OPERATIONAL   N/A           NSHUT         
0/FC1     NC6-FC-MC               OPERATIONAL   N/A           NSHUT         
0/FC2     NC6-FC-MC               OPERATIONAL   N/A           NSHUT         
0/FC3     NC6-FC-MC               OPERATIONAL   N/A           NSHUT         
0/FC4     NC6-FC-MC               OPERATIONAL   N/A           NSHUT         
0/FC5     NC6-FC-MC               OPERATIONAL   N/A           NSHUT         
0/CI0     NCS-CRFT                OPERATIONAL   N/A           NSHUT         
0/FT0     NC6-FANTRAY             OPERATIONAL   N/A           NSHUT         
0/FT1     NC6-FANTRAY             OPERATIONAL   N/A           NSHUT         
0/PT0     NCS-AC-PWRTRAY          OPERATIONAL   N/A           NSHUT         
0/PT1     NCS-AC-PWRTRAY          OPERATIONAL   N/A           NSHUT         
0/PT2     NCS-AC-PWRTRAY          OPERATIONAL   N/A           NSHUT         
0/PT3     NCS-AC-PWRTRAY          OPERATIONAL   N/A           NSHUT         
0/PT4     NCS-AC-PWRTRAY          OPERATIONAL   N/A           NSHUT         
0/PT5     NCS-AC-PWRTRAY          OPERATIONAL   N/A           NSHUT         
1/6       NC6-10X100G-L-K         OPERATIONAL   OPERATIONAL   NSHUT         
1/RP0     NC6-RP                  OPERATIONAL   OPERATIONAL   NSHUT         
1/FC0     NC6-FC-MC               OPERATIONAL   N/A           NSHUT         
1/FC1     NC6-FC-MC               OPERATIONAL   N/A           NSHUT         
1/FC2     NC6-FC-MC               OPERATIONAL   N/A           NSHUT         
1/FC3     NC6-FC-MC               OPERATIONAL   N/A           NSHUT         
1/FC4     NC6-FC-MC               OPERATIONAL   N/A           NSHUT         
1/FC5     NC6-FC-MC               OPERATIONAL   N/A           NSHUT         
1/CI0     NCS-CRFT=               OPERATIONAL   N/A           NSHUT         
1/FT0     NC6-FANTRAY             OPERATIONAL   N/A           NSHUT         
1/FT1     NC6-FANTRAY             OPERATIONAL   N/A           NSHUT         
1/PT0     NCS-AC-PWRTRAY          OPERATIONAL   N/A           NSHUT         
1/PT1     NCS-AC-PWRTRAY          OPERATIONAL   N/A           NSHUT         
1/PT2     NCS-AC-PWRTRAY          OPERATIONAL   N/A           NSHUT         
1/PT3     NCS-AC-PWRTRAY          OPERATIONAL   N/A           NSHUT         
1/PT4     NCS-AC-PWRTRAY          OPERATIONAL   N/A           NSHUT         
1/PT5     NCS-AC-PWRTRAY          OPERATIONAL   N/A           NSHUT         
F0/SC0    NCS-F-SCSW              OPERATIONAL   OPERATIONAL   NSHUT         
F0/SC1    NCS-F-SCSW              OPERATIONAL   OPERATIONAL   NSHUT         
F0/FC0    NCS-F-FC                OPERATIONAL   N/A           NSHUT         
F0/FC1    NCS-F-FC                OPERATIONAL   N/A           NSHUT         
F0/FC2    NCS-F-FC                OPERATIONAL   N/A           NSHUT         
F0/FC3    NCS-F-FC                OPERATIONAL   N/A           NSHUT         
F0/FC4    NCS-F-FC                OPERATIONAL   N/A           NSHUT         
F0/FC5    NCS-F-FC                OPERATIONAL   N/A           NSHUT         
F0/FC6    NCS-F-FC                OPERATIONAL   N/A           NSHUT         
F0/FC7    NCS-F-FC                OPERATIONAL   N/A           NSHUT         
F0/FC8    NCS-F-FC                OPERATIONAL   N/A           NSHUT         
F0/FC9    NCS-F-FC                OPERATIONAL   N/A           NSHUT         
F0/FC10   NCS-F-FC                OPERATIONAL   N/A           NSHUT         
F0/FC11   NCS-F-FC                OPERATIONAL   N/A           NSHUT         
F0/CI0    NCS-CRFT                OPERATIONAL   N/A           NSHUT         
F0/FT0    NCS-F-FANTRAY           OPERATIONAL   N/A           NSHUT         
F0/FT1    NCS-F-FANTRAY           OPERATIONAL   N/A           NSHUT         
F0/PT0    NCS-AC-PWRTRAY          OPERATIONAL   N/A           NSHUT         
F0/PT1    NCS-AC-PWRTRAY          OPERATIONAL   N/A           NSHUT         
F0/PT2    NCS-AC-PWRTRAY          OPERATIONAL   N/A           NSHUT         
F0/PT3    NCS-AC-PWRTRAY          OPERATIONAL   N/A           NSHUT         
F0/SW0    NCS-F-SCSW (SW)         OPERATIONAL   N/A           NSHUT         
F0/SW1    NCS-F-SCSW (SW)         OPERATIONAL   N/A           NSHUT         

RP/1/RP0/CPU0:NCS-6008-B#
