RP/0/RP0/CPU0:r1-a-hesj-1# admin show platform
Mon Dec 21 13:55:16.488 CST
Location  Card Type               HW State      SW State      Config State  
----------------------------------------------------------------------------
0/0       NC6-20X100GE-M-C        OPERATIONAL   OPERATIONAL   NSHUT         
0/1       NC6-20X100GE-M-C        OPERATIONAL   OPERATIONAL   NSHUT         
0/2       NC6-20X100GE-M-C        OPERATIONAL   OPERATIONAL   NSHUT         
0/3       NC6-20X100GE-M-C        OPERATIONAL   OPERATIONAL   NSHUT         
0/4       NC6-20X100GE-M-C        OPERATIONAL   OPERATIONAL   NSHUT         
0/5       NC6-20X100GE-M-C        OPERATIONAL   OPERATIONAL   NSHUT         
0/RP0     NC6-RP                  OPERATIONAL   OPERATIONAL   NSHUT         
0/RP1     NC6-RP                  OPERATIONAL   OPERATIONAL   NSHUT         
0/FC0     NC6-FC2-U               OPERATIONAL   N/A           NSHUT         
0/FC1     NC6-FC2-U               OPERATIONAL   N/A           NSHUT         
0/FC2     NC6-FC2-U               OPERATIONAL   N/A           NSHUT         
0/FC3     NC6-FC2-U               OPERATIONAL   N/A           NSHUT         
0/FC4     NC6-FC2-U               OPERATIONAL   N/A           NSHUT         
0/FC5     NC6-FC2-U               OPERATIONAL   N/A           NSHUT         
0/CI0     NCS-CRFT                OPERATIONAL   N/A           NSHUT         
0/FT0     NC6-FANTRAY-2           OPERATIONAL   N/A           NSHUT         
0/FT1     NC6-FANTRAY-2           OPERATIONAL   N/A           NSHUT         
0/PT0     NCS-DC-PWRTRAY          OPERATIONAL   N/A           NSHUT         
0/PT1     NCS-DC-PWRTRAY          OPERATIONAL   N/A           NSHUT         
0/PT2     NCS-DC-PWRTRAY          OPERATIONAL   N/A           NSHUT         
0/PT3     NCS-DC-PWRTRAY          OPERATIONAL   N/A           NSHUT         
0/PT4     NCS-DC-PWRTRAY          OPERATIONAL   N/A           NSHUT         
0/PT5     NCS-DC-PWRTRAY          OPERATIONAL   N/A           NSHUT         
1/0       NC6-20X100GE-M-C        OPERATIONAL   OPERATIONAL   NSHUT         
1/1       NC6-20X100GE-M-C        OPERATIONAL   OPERATIONAL   NSHUT         
1/2       NC6-20X100GE-M-C        OPERATIONAL   OPERATIONAL   NSHUT         
1/3       NC6-20X100GE-M-C        OPERATIONAL   OPERATIONAL   NSHUT         
1/4       NC6-20X100GE-M-C        OPERATIONAL   OPERATIONAL   NSHUT         
1/5       NC6-20X100GE-M-C        OPERATIONAL   OPERATIONAL   NSHUT         
1/6       NC6-20X100GE-M-C        OPERATIONAL   OPERATIONAL   NSHUT         
1/RP0     NC6-RP                  OPERATIONAL   OPERATIONAL   NSHUT         
1/RP1     NC6-RP                  OPERATIONAL   OPERATIONAL   NSHUT         
1/FC0     NC6-FC2-U               OPERATIONAL   N/A           NSHUT         
1/FC1     NC6-FC2-U               OPERATIONAL   N/A           NSHUT         
1/FC2     NC6-FC2-U               OPERATIONAL   N/A           NSHUT         
1/FC3     NC6-FC2-U               OPERATIONAL   N/A           NSHUT         
1/FC4     NC6-FC2-U               OPERATIONAL   N/A           NSHUT         
1/FC5     NC6-FC2-U               OPERATIONAL   N/A           NSHUT         
1/CI0     NCS-CRFT                OPERATIONAL   N/A           NSHUT         
1/FT0     NC6-FANTRAY-2           OPERATIONAL   N/A           NSHUT         
1/FT1     NC6-FANTRAY-2           OPERATIONAL   N/A           NSHUT         
1/PT0     NCS-DC-PWRTRAY          OPERATIONAL   N/A           NSHUT         
1/PT1     NCS-DC-PWRTRAY          OPERATIONAL   N/A           NSHUT         
1/PT2     NCS-DC-PWRTRAY          OPERATIONAL   N/A           NSHUT         
1/PT3     NCS-DC-PWRTRAY          OPERATIONAL   N/A           NSHUT         
1/PT4     NCS-DC-PWRTRAY          OPERATIONAL   N/A           NSHUT         
1/PT5     NCS-DC-PWRTRAY          OPERATIONAL   N/A           NSHUT         
F0/SC0    NCS-F-SCSW              OPERATIONAL   OPERATIONAL   NSHUT         
F0/SC1    NCS-F-SC                OPERATIONAL   OPERATIONAL   NSHUT         
F0/FC3    NCS-F-FC2               OPERATIONAL   N/A           NSHUT         
F0/FC4    NCS-F-FC2               OPERATIONAL   N/A           NSHUT         
F0/FC5    NCS-F-FC2               OPERATIONAL   N/A           NSHUT         
F0/FC9    NCS-F-FC2               OPERATIONAL   N/A           NSHUT         
F0/FC10   NCS-F-FC2               OPERATIONAL   N/A           NSHUT         
F0/FC11   NCS-F-FC2               OPERATIONAL   N/A           NSHUT         
F0/CI0    NCS-CRFT                OPERATIONAL   N/A           NSHUT         
F0/FT0    NCS-F-FANTRAY           OPERATIONAL   N/A           NSHUT         
F0/FT1    NCS-F-FANTRAY           OPERATIONAL   N/A           NSHUT         
F0/PT0    NCS-DC-PWRTRAY          OPERATIONAL   N/A           NSHUT         
F0/PT1    NCS-DC-PWRTRAY          OPERATIONAL   N/A           NSHUT         
F0/PT2    NCS-DC-PWRTRAY          OPERATIONAL   N/A           NSHUT         
F0/PT3    NCS-DC-PWRTRAY          OPERATIONAL   N/A           NSHUT         
F0/SW0    NCS-F-SCSW (SW)         OPERATIONAL   N/A           NSHUT         
F1/SC0    NCS-F-SCSW              OPERATIONAL   OPERATIONAL   NSHUT         
F1/SC1    NCS-F-SC                OPERATIONAL   OPERATIONAL   NSHUT         
F1/FC3    NCS-F-FC2               OPERATIONAL   N/A           NSHUT         
F1/FC4    NCS-F-FC2               OPERATIONAL   N/A           NSHUT         
